id,bbox,sick
Train_357.jpg,"[64, 0, 64, 43]",0
Train_206.jpg,"[128, 0, 64, 43]",1
Train_458.jpg,"[192, 0, 64, 43]",1
Train_1185.jpg,"[256, 0, 64, 43]",1
Train_1264.jpg,"[320, 0, 64, 43]",1
Train_1780.jpg,"[384, 0, 64, 43]",1
Train_1428.jpg,"[448, 0, 64, 43]",1
Train_818.jpg,"[512, 0, 64, 43]",1
Train_782.jpg,"[576, 0, 64, 43]",0
Train_245.jpg,"[640, 0, 28, 43]",1
Train_949.jpg,"[704, 0, 64, 43]",1
Train_1618.jpg,"[768, 0, 64, 43]",1
Train_1071.jpg,"[896, 0, 64, 43]",1
Train_1203.jpg,"[960, 0, 64, 43]",1
Train_1108.jpg,"[1024, 0, 64, 43]",1
Train_354.jpg,"[1088, 0, 64, 43]",1
Train_128.jpg,"[1152, 0, 64, 43]",1
Train_1536.jpg,"[1216, 0, 64, 43]",1
Train_325.jpg,"[1280, 0, 64, 43]",1
Train_559.jpg,"[1344, 0, 64, 43]",1
Train_421.jpg,"[1408, 0, 64, 43]",0
Train_1670.jpg,"[1472, 0, 64, 43]",0
Train_1648.jpg,"[1536, 0, 64, 43]",1
Train_1010.jpg,"[1600, 0, 64, 43]",1
Train_436.jpg,"[1728, 0, 64, 43]",1
Train_363.jpg,"[64, 43, 64, 43]",1
Train_1529.jpg,"[128, 43, 64, 43]",1
Train_626.jpg,"[192, 43, 64, 43]",0
Train_789.jpg,"[256, 43, 64, 43]",1
Train_1494.jpg,"[384, 43, 64, 43]",1
Train_565.jpg,"[448, 43, 64, 43]",1
Train_960.jpg,"[512, 43, 64, 43]",0
Train_1280.jpg,"[576, 43, 64, 43]",1
Train_1072.jpg,"[640, 43, 64, 43]",0
Train_417.jpg,"[768, 43, 64, 43]",0
Train_1558.jpg,"[832, 43, 64, 43]",1
Train_501.jpg,"[896, 43, 64, 43]",1
Train_1206.jpg,"[960, 43, 64, 43]",1
Train_1180.jpg,"[1024, 43, 64, 43]",0
Train_1755.jpg,"[1088, 43, 64, 43]",1
Train_1346.jpg,"[1152, 43, 64, 43]",1
Train_1531.jpg,"[1280, 43, 64, 43]",1
Train_323.jpg,"[1472, 43, 64, 43]",1
Train_1508.jpg,"[1536, 43, 64, 43]",0
Train_1801.jpg,"[1600, 43, 64, 43]",1
Train_1736.jpg,"[1664, 43, 64, 43]",1
Train_1285.jpg,"[1728, 43, 64, 43]",0
Train_1554.jpg,"[1792, 43, 64, 43]",1
Train_838.jpg,"[64, 86, 64, 43]",1
Train_1779.jpg,"[128, 86, 64, 43]",1
Train_1485.jpg,"[192, 86, 64, 43]",1
Train_1236.jpg,"[256, 86, 64, 43]",1
Train_1195.jpg,"[384, 86, 64, 43]",0
Train_122.jpg,"[448, 86, 64, 43]",1
Train_1092.jpg,"[576, 86, 64, 43]",0
Train_1013.jpg,"[640, 86, 64, 43]",1
Train_395.jpg,"[704, 86, 64, 43]",1
Train_1287.jpg,"[768, 86, 64, 43]",0
Train_992.jpg,"[832, 86, 64, 43]",1
Train_655.jpg,"[960, 86, 64, 43]",1
Train_1109.jpg,"[1024, 86, 64, 43]",1
Train_1183.jpg,"[1152, 86, 64, 43]",1
Train_451.jpg,"[1280, 86, 64, 43]",1
Train_940.jpg,"[1344, 86, 64, 43]",1
Train_1178.jpg,"[1472, 86, 64, 43]",1
Train_1646.jpg,"[1536, 86, 64, 43]",0
Train_701.jpg,"[1600, 86, 64, 43]",0
Train_1609.jpg,"[1664, 86, 64, 43]",1
Train_944.jpg,"[1728, 86, 64, 43]",1
Train_1455.jpg,"[0, 129, 64, 43]",1
Train_891.jpg,"[64, 129, 64, 43]",1
Train_113.jpg,"[128, 129, 64, 43]",1
Train_1671.jpg,"[192, 129, 64, 43]",1
Train_310.jpg,"[256, 129, 64, 43]",1
Train_170.jpg,"[320, 129, 64, 43]",1
Train_1020.jpg,"[384, 129, 64, 43]",0
Train_1009.jpg,"[448, 129, 64, 43]",1
Train_689.jpg,"[512, 129, 64, 43]",1
Train_1716.jpg,"[576, 129, 64, 43]",1
Train_1270.jpg,"[704, 129, 64, 43]",1
Train_906.jpg,"[768, 129, 64, 43]",1
Train_1591.jpg,"[832, 129, 64, 43]",1
Train_1799.jpg,"[896, 129, 64, 43]",0
Train_1186.jpg,"[960, 129, 64, 43]",0
Train_1712.jpg,"[1024, 129, 64, 43]",1
Train_645.jpg,"[1088, 129, 64, 43]",1
Train_574.jpg,"[1152, 129, 64, 43]",1
Train_480.jpg,"[1216, 129, 64, 43]",1
Train_1433.jpg,"[1280, 129, 64, 43]",1
Train_996.jpg,"[1344, 129, 64, 43]",1
Train_1434.jpg,"[1408, 129, 64, 43]",1
Train_430.jpg,"[1536, 129, 64, 43]",0
Train_1379.jpg,"[1600, 129, 64, 43]",1
